seed,classifier,train_fun,train_accuracy,test_accuracy,fold_id,roc_auc
1.0,GaussianNB,partial_train,0.8541063877142221,0.8628673196794301,3.0,0.9097832454598712
1.0,GaussianNB,partial_train,0.8578900511907411,0.8477292965271594,4.0,0.8998242530755711
2.0,GaussianNB,partial_train,0.8562047857540345,0.8544726301735648,0.0,0.9042179261862916
2.0,GaussianNB,partial_train,0.8568725653867557,0.8518024032042724,1.0,0.9024604569420036
2.0,GaussianNB,partial_train,0.8562207878922768,0.8544078361531612,2.0,0.9042179261862916
2.0,GaussianNB,partial_train,0.856777208991765,0.8521816562778273,3.0,0.9027533684827184
2.0,GaussianNB,partial_train,0.8532161139550412,0.8664292074799644,4.0,0.9121265377855888
3.0,GaussianNB,partial_train,0.8545353366722315,0.8611481975967957,0.0,0.9086115992970124
3.0,GaussianNB,partial_train,0.8569838619922092,0.851357365376057,1.0,0.9021675454012889
3.0,GaussianNB,partial_train,0.8564433563320721,0.8535173642030276,2.0,0.9036321031048624
3.0,GaussianNB,partial_train,0.8546628088137103,0.8606411398040962,3.0,0.9083186877562976
3.0,GaussianNB,partial_train,0.8566659247718673,0.852626892252894,4.0,0.9030462800234328
4.0,GaussianNB,partial_train,0.8536449638286032,0.8647085002225189,0.0,0.91095489162273
4.0,GaussianNB,partial_train,0.8554257095158597,0.8575878949710726,1.0,0.9062683069712948
4.0,GaussianNB,partial_train,0.8555530825728912,0.8570792520035619,2.0,0.90597539543058
4.0,GaussianNB,partial_train,0.854440240373915,0.8615316117542298,3.0,0.9089045108377268
4.0,GaussianNB,partial_train,0.8602270198085912,0.838379341050757,4.0,0.8936731107205624
0.0,ComplementNB,partial_train,0.4585420144685587,0.4383622607921673,0.0,0.6113552040617066
0.0,ComplementNB,partial_train,0.4377295492487479,0.4374721851357365,1.0,0.6183655536028119
0.0,ComplementNB,partial_train,0.4335633207211217,0.4327693677649154,2.0,0.615405516736172
0.0,ComplementNB,partial_train,0.4350100155797908,0.4287622439893143,3.0,0.6146735096019554
0.0,ComplementNB,partial_train,0.4343423102604051,0.4381121994657168,4.0,0.6233635809332521
1.0,ComplementNB,partial_train,0.4379521424596549,0.4316866933689363,0.0,0.617722775499577
1.0,ComplementNB,partial_train,0.4352810239287701,0.4454828660436137,1.0,0.6287020764173664
1.0,ComplementNB,partial_train,0.4397952370353883,0.4345503116651825,2.0,0.615942430654959
1.0,ComplementNB,partial_train,0.4383485421767193,0.4479073909171861,3.0,0.6272687058526878
1.0,ComplementNB,partial_train,0.443690184731805,0.4292074799643811,4.0,0.6162358856308141
2.0,ComplementNB,partial_train,0.4455203116304952,0.4272363150867824,0.0,0.6109955737811625
2.0,ComplementNB,partial_train,0.442960489705064,0.4423676012461059,1.0,0.6234866237063075
2.0,ComplementNB,partial_train,0.4442466058312931,0.4425645592163846,2.0,0.6301010898048307
2.0,ComplementNB,partial_train,0.443690184731805,0.4487978628673196,3.0,0.6303934579104049
2.0,ComplementNB,partial_train,0.4442466058312931,0.4554764024933214,4.0,0.6328829342889096
3.0,ComplementNB,partial_train,0.4435169727323316,0.4641744548286604,0.0,0.6384723035865391
3.0,ComplementNB,partial_train,0.4494156928213689,0.4441477525589675,1.0,0.6259242986395885
3.0,ComplementNB,partial_train,0.4522590696639216,0.4381121994657168,2.0,0.6239983131773239
3.0,ComplementNB,partial_train,0.4508123748052526,0.4487978628673196,3.0,0.6297587256663331
3.0,ComplementNB,partial_train,0.4522590696639216,0.4479073909171861,4.0,0.6279034380967597
4.0,ComplementNB,partial_train,0.452977184195882,0.450378282153983,0.0,0.6293920458243832
4.0,ComplementNB,partial_train,0.4538675570395103,0.450378282153983,1.0,0.6331901321356506
4.0,ComplementNB,partial_train,0.4511462274649455,0.4683882457702582,2.0,0.6413773689696362
4.0,ComplementNB,partial_train,0.4586022701980859,0.4430097951914514,3.0,0.6221424821726101
4.0,ComplementNB,partial_train,0.455375027821055,0.4599287622439893,4.0,0.6389857109164164
0.0,SVC,train,0.8637729549248748,0.7650200267022697,0.0,0.513643168651956
0.0,SVC,train,0.8612131329994435,0.7614597240765465,1.0,0.5100338475558159
0.0,SVC,train,0.8660137992432673,0.7649154051647373,2.0,0.510838813876725
0.0,SVC,train,0.8547740930336079,0.7644701691896705,3.0,0.5111806345800822
0.0,SVC,train,0.8631204095259293,0.7649154051647373,4.0,0.5127430106089409
1.0,SVC,train,0.86110183639399,0.7623497997329773,0.0,0.5093536418668229
1.0,SVC,train,0.8634390651085142,0.7632398753894081,1.0,0.5099394649482524
1.0,SVC,train,0.8603383040284888,0.7662511130899377,2.0,0.5155259419633007
1.0,SVC,train,0.8635655464055197,0.7626892252894034,3.0,0.5081047916850076
1.0,SVC,train,0.8613398620075673,0.7649154051647373,4.0,0.5121082783648688
2.0,SVC,train,0.8641068447412354,0.7650200267022697,0.0,0.5130101542667448
2.0,SVC,train,0.8657762938230384,0.7636849132176236,1.0,0.5108653908741783
2.0,SVC,train,0.8581126196305364,0.7649154051647373,2.0,0.5121082783648688
2.0,SVC,train,0.8594480302693078,0.7662511130899377,3.0,0.5148912097192289
2.0,SVC,train,0.8627865568662364,0.7617987533392698,4.0,0.5081537008476502
3.0,SVC,train,0.8668892598775737,0.7645749888740543,0.0,0.5133502571112413
3.0,SVC,train,0.8638842515303283,0.7645749888740543,1.0,0.5120842283408188
3.0,SVC,train,0.8607834409080792,0.7644701691896705,2.0,0.5124500990682261
3.0,SVC,train,0.8633429779657245,0.7609082813891362,3.0,0.5056636810340049
3.0,SVC,train,0.8627865568662364,0.763579697239537,4.0,0.5105948114986528
4.0,SVC,train,0.8657762938230384,0.7645749888740543,0.0,0.5127172427260301
4.0,SVC,train,0.8619922092376182,0.7614597240765465,1.0,0.5087678187853935
4.0,SVC,train,0.8635655464055197,0.7609082813891362,2.0,0.5062984132780768
4.0,SVC,train,0.8631204095259293,0.7649154051647373,3.0,0.510838813876725
4.0,SVC,train,0.8586690407300245,0.767586821015138,4.0,0.5176741410735888
0.0,KNeighborsClassifier,train,0.7629382303839732,0.7222963951935915,0.0,0.5311006964785523
0.0,KNeighborsClassifier,train,0.7650528658875905,0.724076546506453,1.0,0.5240431556336652
0.0,KNeighborsClassifier,train,0.7646338749165368,0.6901157613535174,2.0,0.5143124512946255
0.0,KNeighborsClassifier,train,0.7641887380369463,0.6861086375779163,3.0,0.5053289249874738
0.0,KNeighborsClassifier,train,0.7638548853772535,0.6985752448797863,4.0,0.5230514317885646
1.0,KNeighborsClassifier,train,0.7632721202003339,0.7111704494882065,0.0,0.5320070949684306
1.0,KNeighborsClassifier,train,0.7641624930439621,0.7142857142857143,1.0,0.5055718284189286
1.0,KNeighborsClassifier,train,0.7640774538170487,0.7056990204808549,2.0,0.5239296229755682
1.0,KNeighborsClassifier,train,0.7637436011573558,0.6994657168299199,3.0,0.5153857356970588
1.0,KNeighborsClassifier,train,0.7740930336078344,0.6772039180765805,4.0,0.5464408802345031
2.0,KNeighborsClassifier,train,0.7638286032276016,0.6951490876724522,0.0,0.5271594089696023
2.0,KNeighborsClassifier,train,0.7680578742348358,0.7093902981753449,1.0,0.5257713337238821
2.0,KNeighborsClassifier,train,0.7647451591364345,0.7021371326803205,2.0,0.5399935657279368
2.0,KNeighborsClassifier,train,0.7635210327175607,0.7243989314336599,3.0,0.5286151207567226
2.0,KNeighborsClassifier,train,0.7641887380369463,0.7172751558325913,4.0,0.5017129075627694
3.0,KNeighborsClassifier,train,0.7640511964385086,0.6978193146417445,0.0,0.5257518062878345
3.0,KNeighborsClassifier,train,0.7642737896494157,0.7076101468624834,1.0,0.5208016012497558
3.0,KNeighborsClassifier,train,0.7636323169374583,0.6789848619768477,2.0,0.5088938595089737
3.0,KNeighborsClassifier,train,0.7639661695971511,0.7248441674087266,3.0,0.5200217808804302
3.0,KNeighborsClassifier,train,0.7646338749165368,0.7048085485307213,4.0,0.5163617452093475
4.0,KNeighborsClassifier,train,0.7736227045075125,0.7071651090342679,0.0,0.5173436177829851
4.0,KNeighborsClassifier,train,0.7638286032276016,0.6920338228749444,1.0,0.5327052008071341
4.0,KNeighborsClassifier,train,0.7629646116180726,0.7128227960819234,2.0,0.533059333335507
4.0,KNeighborsClassifier,train,0.7647451591364345,0.7252894033837934,3.0,0.5209494246652168
4.0,KNeighborsClassifier,train,0.7637436011573558,0.705253784505788,4.0,0.5268103726552132
